,modelName,accuracy,f1-scoreMacro,f1-scoreWeighted,precisionMacro,precisionWeighted,recallMacro,recallWeighted
7,bert,0.6917641863546037,0.5059760158992586,0.6878804702837097,0.5465697802058436,0.6911078363706666,0.49619787362382306,0.6917641863546037
3,Logistic Regression,0.5065508611806271,0.36795458261049774,0.5310989187602355,0.3591593246667206,0.5726343934639738,0.41101558328847465,0.5065508611806271
4,CatBoost,0.5922272928014132,0.3200405316932814,0.5365041370340577,0.4153750559167607,0.5276347187290934,0.30955336435739256,0.5922272928014132
5,LGBM,0.5848667746209333,0.31133661505725335,0.5246820830115693,0.4194186596502657,0.5170796445935942,0.29917603605777965,0.5848667746209333
6,xgb,0.5767702046224055,0.2929272693804242,0.5192575596395098,0.40226136876965574,0.5085500815771686,0.28640184333774066,0.5767702046224055
1,KNN,0.5336375680847931,0.2771636016560289,0.48192849217859157,0.3243771907852149,0.4618685210335816,0.27078308531565237,0.5336375680847931
8,fasttext,0.5623758003974387,0.22243903846200413,0.4349553130372703,0.3237708422744752,0.44607669252322735,0.2520870099632836,0.5623758003974387
9,fasttext,0.5623758003974387,0.22243903846200413,0.4349553130372703,0.3237708422744752,0.44607669252322735,0.2520870099632836,0.5623758003974387
2,Random Forest,0.558957750625644,0.16787669047246068,0.4147035300726548,0.43073057174022933,0.4803682889818982,0.21137408139422337,0.558957750625644
0,Naive Bayes,0.5538053878993081,0.14256750355281858,0.39477325803452334,0.11076107757986162,0.30670040766630313,0.2,0.5538053878993081
